City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,kasane,-17.8167,25.15,21.59,75,30,1.81,BW,1667503123
182,daru,-9.0763,143.2092,26.83,83,100,3.39,PG,1667503124
183,marystown,47.1666,-55.1483,5.78,49,9,9.26,CA,1667503125
184,carutapera,-1.195,-46.02,29.08,67,94,3.15,BR,1667503127
185,nileshwar,12.25,75.1,25.39,83,94,2.17,IN,1667503129
186,marsh harbour,26.5412,-77.0636,26.3,68,0,5.01,BS,1667503130
187,zholymbet,51.7433,71.7122,3.45,61,100,6.75,KZ,1667503131
188,chifeng,42.2683,118.9636,-2.6,38,0,3.01,CN,1667503132
189,springbok,-29.6643,17.8865,13.96,69,0,1.9,ZA,1667503133
190,victoria,22.2855,114.1577,23.3,95,100,4.02,HK,1667503135
191,derzhavinsk,51.1,66.3167,3.15,92,100,6.99,KZ,1667503139
192,mareeba,-17.0,145.4333,23.4,89,84,0.94,AU,1667503140
193,turukhansk,65.8167,87.9833,-21.22,96,27,2.12,RU,1667503141
194,marawi,7.9986,124.2928,20.81,92,89,0.86,PH,1667503142
195,khatanga,71.9667,102.5,-10.07,95,100,3.76,RU,1667503143
196,port hedland,-20.3167,118.5667,21.03,52,0,4.63,AU,1667503144
197,sendhwa,21.6833,75.1,22.95,37,0,0.75,IN,1667503146
198,vardo,70.3705,31.1107,3.99,93,75,4.63,NO,1667503147
199,vostok,46.4856,135.8833,-8.34,84,100,3.68,RU,1667503148
200,kawalu,-7.3817,108.2082,22.71,98,100,1.08,ID,1667503149
201,mahibadhoo,3.7833,72.9667,27.77,76,17,5.08,MV,1667503150
202,vanimo,-2.6741,141.3028,25.4,89,71,1.72,PG,1667503152
203,hjelset,62.7833,7.4833,11.88,66,40,2.57,NO,1667503153
204,ilebo,-4.3167,20.5833,21.41,94,65,0.28,CD,1667503154
205,charters towers,-20.1,146.2667,19.02,74,0,4.4,AU,1667503155
206,mindelo,16.8901,-24.9804,27.75,54,0,8.23,CV,1667503156
207,atocha,-20.9333,-66.2333,19.73,4,45,6.7,BO,1667503157
208,asarganj,25.15,86.6833,21.49,56,89,0.63,IN,1667503158
209,alofi,-19.0595,-169.9187,23.94,94,100,4.63,NU,1667503160
210,grasse,43.6667,6.9167,12.92,94,75,0.0,FR,1667503054
211,faanui,-16.4833,-151.75,25.08,79,99,6.88,PF,1667503164
212,soe,-9.8607,124.284,20.25,91,100,0.98,ID,1667503165
213,yangambi,0.8102,24.4336,21.33,99,96,0.81,CD,1667503166
214,bagotville,-28.9833,153.4167,12.14,88,6,2.98,AU,1667503169
215,aykhal,66.0,111.5,-15.78,77,100,7.51,RU,1667503171
216,naze,28.3667,129.4833,21.51,81,100,6.97,JP,1667503172
217,astoria,46.1879,-123.8313,8.29,79,100,2.06,US,1667503173
218,taoudenni,22.6783,-3.9836,27.51,12,6,3.97,ML,1667503174
219,seddon,-37.8068,144.8916,12.08,87,40,2.06,AU,1667503175
220,yanam,16.7333,82.2167,24.33,89,85,1.51,IN,1667503178
221,anchorage,61.2181,-149.9003,-0.18,90,100,3.09,US,1667503179
222,hounde,11.5,-3.5167,28.03,21,17,2.17,BF,1667503180
223,porec,45.2258,13.5939,15.81,85,100,4.18,HR,1667503041
224,vila velha,-20.3297,-40.2925,18.97,85,100,8.23,BR,1667503137
225,portland,45.5234,-122.6762,8.94,86,100,3.6,US,1667502969
226,kropotkin,45.4375,40.5756,8.19,73,49,1.29,RU,1667503185
227,la ronge,55.1001,-105.2842,-4.86,80,100,4.63,CA,1667503187
228,meulaboh,4.1363,96.1285,23.51,97,100,1.29,ID,1667503188
229,dalvik,65.9702,-18.5286,2.96,89,100,1.39,IS,1667503189
230,washington,47.5001,-120.5015,3.97,72,100,0.2,US,1667502464
231,carman,49.4992,-98.0016,3.51,52,100,7.2,CA,1667503192
232,ancud,-41.8697,-73.8203,16.28,72,24,3.43,CL,1667503193
233,half moon bay,37.4636,-122.4286,15.29,50,0,4.63,US,1667503195
234,aksarka,66.5606,67.7975,-14.91,92,5,0.6,RU,1667503196
235,bereda,43.2686,-7.5406,9.21,100,5,1.31,ES,1667503197
236,dunedin,-45.8742,170.5036,10.08,66,16,2.83,NZ,1667503199
237,vestmannaeyjar,63.4427,-20.2734,4.93,76,0,8.92,IS,1667503200
238,boende,-0.2167,20.8667,21.19,95,100,0.33,CD,1667503201
239,mount isa,-20.7333,139.5,15.87,29,0,3.6,AU,1667503203
240,afonso bezerra,-5.4983,-36.5056,30.46,51,99,9.17,BR,1667503204
241,san jose,37.3394,-121.895,15.18,51,20,4.63,US,1667503118
